ID,Image1,Image2,Type
2722,61__M_Left_thumb_finger.BMP,61__M_Right_little_finger.BMP,1
2723,61__M_Left_thumb_finger.BMP,61__M_Left_index_finger.BMP,1
2724,61__M_Left_thumb_finger.BMP,61__M_Right_index_finger.BMP,1
2725,61__M_Right_thumb_finger.BMP,61__M_Left_middle_finger.BMP,1
2726,61__M_Right_thumb_finger.BMP,61__M_Right_middle_finger.BMP,1
2727,61__M_Right_thumb_finger.BMP,61__M_Left_little_finger.BMP,1
2728,61__M_Right_thumb_finger.BMP,61__M_Right_little_finger.BMP,1
2729,61__M_Right_thumb_finger.BMP,61__M_Left_index_finger.BMP,1
2730,61__M_Right_thumb_finger.BMP,61__M_Right_index_finger.BMP,1
2731,61__M_Left_middle_finger.BMP,61__M_Right_middle_finger.BMP,1
2732,61__M_Left_middle_finger.BMP,61__M_Left_little_finger.BMP,1
2733,61__M_Left_middle_finger.BMP,61__M_Right_little_finger.BMP,1
2734,61__M_Left_middle_finger.BMP,61__M_Left_index_finger.BMP,1
2735,61__M_Left_middle_finger.BMP,61__M_Right_index_finger.BMP,1
2736,61__M_Right_middle_finger.BMP,61__M_Left_little_finger.BMP,1
2737,61__M_Right_middle_finger.BMP,61__M_Right_little_finger.BMP,1
2738,61__M_Right_middle_finger.BMP,61__M_Left_index_finger.BMP,1
2739,61__M_Right_middle_finger.BMP,61__M_Right_index_finger.BMP,1
2740,61__M_Left_little_finger.BMP,61__M_Right_little_finger.BMP,1
2741,61__M_Left_little_finger.BMP,61__M_Left_index_finger.BMP,1
2742,61__M_Left_little_finger.BMP,61__M_Right_index_finger.BMP,1
2743,61__M_Right_little_finger.BMP,61__M_Left_index_finger.BMP,1
2744,61__M_Right_little_finger.BMP,61__M_Right_index_finger.BMP,1
2745,61__M_Left_index_finger.BMP,61__M_Right_index_finger.BMP,1
2746,62__M_Left_ring_finger.BMP,62__M_Right_ring_finger.BMP,1
2747,62__M_Left_ring_finger.BMP,62__M_Left_thumb_finger.BMP,1
2748,62__M_Left_ring_finger.BMP,62__M_Right_thumb_finger.BMP,1
2749,62__M_Left_ring_finger.BMP,62__M_Left_middle_finger.BMP,1
2750,62__M_Left_ring_finger.BMP,62__M_Right_middle_finger.BMP,1
2751,62__M_Left_ring_finger.BMP,62__M_Left_little_finger.BMP,1
2752,62__M_Left_ring_finger.BMP,62__M_Right_little_finger.BMP,1
2753,62__M_Left_ring_finger.BMP,62__M_Left_index_finger.BMP,1
2754,62__M_Left_ring_finger.BMP,62__M_Right_index_finger.BMP,1
2755,62__M_Right_ring_finger.BMP,62__M_Left_thumb_finger.BMP,1
2756,62__M_Right_ring_finger.BMP,62__M_Right_thumb_finger.BMP,1
2757,62__M_Right_ring_finger.BMP,62__M_Left_middle_finger.BMP,1
2758,62__M_Right_ring_finger.BMP,62__M_Right_middle_finger.BMP,1
2759,62__M_Right_ring_finger.BMP,62__M_Left_little_finger.BMP,1
2760,62__M_Right_ring_finger.BMP,62__M_Right_little_finger.BMP,1
2761,62__M_Right_ring_finger.BMP,62__M_Left_index_finger.BMP,1
2762,62__M_Right_ring_finger.BMP,62__M_Right_index_finger.BMP,1
2763,62__M_Left_thumb_finger.BMP,62__M_Right_thumb_finger.BMP,1
2764,62__M_Left_thumb_finger.BMP,62__M_Left_middle_finger.BMP,1
2765,62__M_Left_thumb_finger.BMP,62__M_Right_middle_finger.BMP,1
2766,62__M_Left_thumb_finger.BMP,62__M_Left_little_finger.BMP,1
2767,62__M_Left_thumb_finger.BMP,62__M_Right_little_finger.BMP,1
2768,62__M_Left_thumb_finger.BMP,62__M_Left_index_finger.BMP,1
2769,62__M_Left_thumb_finger.BMP,62__M_Right_index_finger.BMP,1
2770,62__M_Right_thumb_finger.BMP,62__M_Left_middle_finger.BMP,1
2771,62__M_Right_thumb_finger.BMP,62__M_Right_middle_finger.BMP,1
2772,62__M_Right_thumb_finger.BMP,62__M_Left_little_finger.BMP,1
2773,62__M_Right_thumb_finger.BMP,62__M_Right_little_finger.BMP,1
2774,62__M_Right_thumb_finger.BMP,62__M_Left_index_finger.BMP,1
2775,62__M_Right_thumb_finger.BMP,62__M_Right_index_finger.BMP,1
2776,62__M_Left_middle_finger.BMP,62__M_Right_middle_finger.BMP,1
2777,62__M_Left_middle_finger.BMP,62__M_Left_little_finger.BMP,1
2778,62__M_Left_middle_finger.BMP,62__M_Right_little_finger.BMP,1
2779,62__M_Left_middle_finger.BMP,62__M_Left_index_finger.BMP,1
2780,62__M_Left_middle_finger.BMP,62__M_Right_index_finger.BMP,1
2781,62__M_Right_middle_finger.BMP,62__M_Left_little_finger.BMP,1
2782,62__M_Right_middle_finger.BMP,62__M_Right_little_finger.BMP,1
2783,62__M_Right_middle_finger.BMP,62__M_Left_index_finger.BMP,1
2784,62__M_Right_middle_finger.BMP,62__M_Right_index_finger.BMP,1
2785,62__M_Left_little_finger.BMP,62__M_Right_little_finger.BMP,1
2786,62__M_Left_little_finger.BMP,62__M_Left_index_finger.BMP,1
2787,62__M_Left_little_finger.BMP,62__M_Right_index_finger.BMP,1
2788,62__M_Right_little_finger.BMP,62__M_Left_index_finger.BMP,1
2789,62__M_Right_little_finger.BMP,62__M_Right_index_finger.BMP,1
2790,62__M_Left_index_finger.BMP,62__M_Right_index_finger.BMP,1
2791,63__M_Left_ring_finger.BMP,63__M_Right_ring_finger.BMP,1
2792,63__M_Left_ring_finger.BMP,63__M_Left_thumb_finger.BMP,1
2793,63__M_Left_ring_finger.BMP,63__M_Right_thumb_finger.BMP,1
2794,63__M_Left_ring_finger.BMP,63__M_Left_middle_finger.BMP,1
2795,63__M_Left_ring_finger.BMP,63__M_Right_middle_finger.BMP,1
2796,63__M_Left_ring_finger.BMP,63__M_Left_little_finger.BMP,1
2797,63__M_Left_ring_finger.BMP,63__M_Right_little_finger.BMP,1
2798,63__M_Left_ring_finger.BMP,63__M_Left_index_finger.BMP,1
2799,63__M_Left_ring_finger.BMP,63__M_Right_index_finger.BMP,1
2800,63__M_Right_ring_finger.BMP,63__M_Left_thumb_finger.BMP,1
2801,63__M_Right_ring_finger.BMP,63__M_Right_thumb_finger.BMP,1
2802,63__M_Right_ring_finger.BMP,63__M_Left_middle_finger.BMP,1
2803,63__M_Right_ring_finger.BMP,63__M_Right_middle_finger.BMP,1
2804,63__M_Right_ring_finger.BMP,63__M_Left_little_finger.BMP,1
2805,63__M_Right_ring_finger.BMP,63__M_Right_little_finger.BMP,1
2806,63__M_Right_ring_finger.BMP,63__M_Left_index_finger.BMP,1
2807,63__M_Right_ring_finger.BMP,63__M_Right_index_finger.BMP,1
2808,63__M_Left_thumb_finger.BMP,63__M_Right_thumb_finger.BMP,1
2809,63__M_Left_thumb_finger.BMP,63__M_Left_middle_finger.BMP,1
2810,63__M_Left_thumb_finger.BMP,63__M_Right_middle_finger.BMP,1
2811,63__M_Left_thumb_finger.BMP,63__M_Left_little_finger.BMP,1
2812,63__M_Left_thumb_finger.BMP,63__M_Right_little_finger.BMP,1
2813,63__M_Left_thumb_finger.BMP,63__M_Left_index_finger.BMP,1
2814,63__M_Left_thumb_finger.BMP,63__M_Right_index_finger.BMP,1
2815,63__M_Right_thumb_finger.BMP,63__M_Left_middle_finger.BMP,1
2816,63__M_Right_thumb_finger.BMP,63__M_Right_middle_finger.BMP,1
2817,63__M_Right_thumb_finger.BMP,63__M_Left_little_finger.BMP,1
2818,63__M_Right_thumb_finger.BMP,63__M_Right_little_finger.BMP,1
2819,63__M_Right_thumb_finger.BMP,63__M_Left_index_finger.BMP,1
2820,63__M_Right_thumb_finger.BMP,63__M_Right_index_finger.BMP,1
2821,63__M_Left_middle_finger.BMP,63__M_Right_middle_finger.BMP,1
2822,63__M_Left_middle_finger.BMP,63__M_Left_little_finger.BMP,1
2823,63__M_Left_middle_finger.BMP,63__M_Right_little_finger.BMP,1
2824,63__M_Left_middle_finger.BMP,63__M_Left_index_finger.BMP,1
2825,63__M_Left_middle_finger.BMP,63__M_Right_index_finger.BMP,1
2826,63__M_Right_middle_finger.BMP,63__M_Left_little_finger.BMP,1
2827,63__M_Right_middle_finger.BMP,63__M_Right_little_finger.BMP,1
2828,63__M_Right_middle_finger.BMP,63__M_Left_index_finger.BMP,1
2829,63__M_Right_middle_finger.BMP,63__M_Right_index_finger.BMP,1
2830,63__M_Left_little_finger.BMP,63__M_Right_little_finger.BMP,1
2831,63__M_Left_little_finger.BMP,63__M_Left_index_finger.BMP,1
2832,63__M_Left_little_finger.BMP,63__M_Right_index_finger.BMP,1
2833,63__M_Right_little_finger.BMP,63__M_Left_index_finger.BMP,1
2834,63__M_Right_little_finger.BMP,63__M_Right_index_finger.BMP,1
2835,63__M_Left_index_finger.BMP,63__M_Right_index_finger.BMP,1
2836,64__M_Left_ring_finger.BMP,64__M_Right_ring_finger.BMP,1
2837,64__M_Left_ring_finger.BMP,64__M_Left_thumb_finger.BMP,1
2838,64__M_Left_ring_finger.BMP,64__M_Right_thumb_finger.BMP,1
2839,64__M_Left_ring_finger.BMP,64__M_Left_middle_finger.BMP,1
2840,64__M_Left_ring_finger.BMP,64__M_Right_middle_finger.BMP,1
2841,64__M_Left_ring_finger.BMP,64__M_Left_little_finger.BMP,1
2842,64__M_Left_ring_finger.BMP,64__M_Right_little_finger.BMP,1
2843,64__M_Left_ring_finger.BMP,64__M_Left_index_finger.BMP,1
2844,64__M_Left_ring_finger.BMP,64__M_Right_index_finger.BMP,1
2845,64__M_Right_ring_finger.BMP,64__M_Left_thumb_finger.BMP,1
2846,64__M_Right_ring_finger.BMP,64__M_Right_thumb_finger.BMP,1
2847,64__M_Right_ring_finger.BMP,64__M_Left_middle_finger.BMP,1
2848,64__M_Right_ring_finger.BMP,64__M_Right_middle_finger.BMP,1
2849,64__M_Right_ring_finger.BMP,64__M_Left_little_finger.BMP,1
2850,64__M_Right_ring_finger.BMP,64__M_Right_little_finger.BMP,1
2851,64__M_Right_ring_finger.BMP,64__M_Left_index_finger.BMP,1
2852,64__M_Right_ring_finger.BMP,64__M_Right_index_finger.BMP,1
2853,64__M_Left_thumb_finger.BMP,64__M_Right_thumb_finger.BMP,1
2854,64__M_Left_thumb_finger.BMP,64__M_Left_middle_finger.BMP,1
2855,64__M_Left_thumb_finger.BMP,64__M_Right_middle_finger.BMP,1
2856,64__M_Left_thumb_finger.BMP,64__M_Left_little_finger.BMP,1
2857,64__M_Left_thumb_finger.BMP,64__M_Right_little_finger.BMP,1
2858,64__M_Left_thumb_finger.BMP,64__M_Left_index_finger.BMP,1
2859,64__M_Left_thumb_finger.BMP,64__M_Right_index_finger.BMP,1
2860,64__M_Right_thumb_finger.BMP,64__M_Left_middle_finger.BMP,1
2861,64__M_Right_thumb_finger.BMP,64__M_Right_middle_finger.BMP,1
2862,64__M_Right_thumb_finger.BMP,64__M_Left_little_finger.BMP,1
2863,64__M_Right_thumb_finger.BMP,64__M_Right_little_finger.BMP,1
2864,64__M_Right_thumb_finger.BMP,64__M_Left_index_finger.BMP,1
2865,64__M_Right_thumb_finger.BMP,64__M_Right_index_finger.BMP,1
2866,64__M_Left_middle_finger.BMP,64__M_Right_middle_finger.BMP,1
2867,64__M_Left_middle_finger.BMP,64__M_Left_little_finger.BMP,1
2868,64__M_Left_middle_finger.BMP,64__M_Right_little_finger.BMP,1
2869,64__M_Left_middle_finger.BMP,64__M_Left_index_finger.BMP,1
2870,64__M_Left_middle_finger.BMP,64__M_Right_index_finger.BMP,1
2871,64__M_Right_middle_finger.BMP,64__M_Left_little_finger.BMP,1
2872,64__M_Right_middle_finger.BMP,64__M_Right_little_finger.BMP,1
2873,64__M_Right_middle_finger.BMP,64__M_Left_index_finger.BMP,1
2874,64__M_Right_middle_finger.BMP,64__M_Right_index_finger.BMP,1
2875,64__M_Left_little_finger.BMP,64__M_Right_little_finger.BMP,1
2876,64__M_Left_little_finger.BMP,64__M_Left_index_finger.BMP,1
2877,64__M_Left_little_finger.BMP,64__M_Right_index_finger.BMP,1
2878,64__M_Right_little_finger.BMP,64__M_Left_index_finger.BMP,1
2879,64__M_Right_little_finger.BMP,64__M_Right_index_finger.BMP,1
2880,64__M_Left_index_finger.BMP,64__M_Right_index_finger.BMP,1
2881,65__M_Left_ring_finger.BMP,65__M_Right_ring_finger.BMP,1
2882,65__M_Left_ring_finger.BMP,65__M_Left_thumb_finger.BMP,1
2883,65__M_Left_ring_finger.BMP,65__M_Right_thumb_finger.BMP,1
2884,65__M_Left_ring_finger.BMP,65__M_Left_middle_finger.BMP,1
2885,65__M_Left_ring_finger.BMP,65__M_Right_middle_finger.BMP,1
2886,65__M_Left_ring_finger.BMP,65__M_Left_little_finger.BMP,1
2887,65__M_Left_ring_finger.BMP,65__M_Right_little_finger.BMP,1
2888,65__M_Left_ring_finger.BMP,65__M_Left_index_finger.BMP,1
2889,65__M_Left_ring_finger.BMP,65__M_Right_index_finger.BMP,1
2890,65__M_Right_ring_finger.BMP,65__M_Left_thumb_finger.BMP,1
2891,65__M_Right_ring_finger.BMP,65__M_Right_thumb_finger.BMP,1
2892,65__M_Right_ring_finger.BMP,65__M_Left_middle_finger.BMP,1
2893,65__M_Right_ring_finger.BMP,65__M_Right_middle_finger.BMP,1
2894,65__M_Right_ring_finger.BMP,65__M_Left_little_finger.BMP,1
2895,65__M_Right_ring_finger.BMP,65__M_Right_little_finger.BMP,1
2896,65__M_Right_ring_finger.BMP,65__M_Left_index_finger.BMP,1
2897,65__M_Right_ring_finger.BMP,65__M_Right_index_finger.BMP,1
2898,65__M_Left_thumb_finger.BMP,65__M_Right_thumb_finger.BMP,1
2899,65__M_Left_thumb_finger.BMP,65__M_Left_middle_finger.BMP,1
2900,65__M_Left_thumb_finger.BMP,65__M_Right_middle_finger.BMP,1
2901,65__M_Left_thumb_finger.BMP,65__M_Left_little_finger.BMP,1
2902,65__M_Left_thumb_finger.BMP,65__M_Right_little_finger.BMP,1
2903,65__M_Left_thumb_finger.BMP,65__M_Left_index_finger.BMP,1
2904,65__M_Left_thumb_finger.BMP,65__M_Right_index_finger.BMP,1
2905,65__M_Right_thumb_finger.BMP,65__M_Left_middle_finger.BMP,1
2906,65__M_Right_thumb_finger.BMP,65__M_Right_middle_finger.BMP,1
2907,65__M_Right_thumb_finger.BMP,65__M_Left_little_finger.BMP,1
2908,65__M_Right_thumb_finger.BMP,65__M_Right_little_finger.BMP,1
2909,65__M_Right_thumb_finger.BMP,65__M_Left_index_finger.BMP,1
2910,65__M_Right_thumb_finger.BMP,65__M_Right_index_finger.BMP,1
2911,65__M_Left_middle_finger.BMP,65__M_Right_middle_finger.BMP,1
2912,65__M_Left_middle_finger.BMP,65__M_Left_little_finger.BMP,1
2913,65__M_Left_middle_finger.BMP,65__M_Right_little_finger.BMP,1
2914,65__M_Left_middle_finger.BMP,65__M_Left_index_finger.BMP,1
2915,65__M_Left_middle_finger.BMP,65__M_Right_index_finger.BMP,1
2916,65__M_Right_middle_finger.BMP,65__M_Left_little_finger.BMP,1
2917,65__M_Right_middle_finger.BMP,65__M_Right_little_finger.BMP,1
2918,65__M_Right_middle_finger.BMP,65__M_Left_index_finger.BMP,1
2919,65__M_Right_middle_finger.BMP,65__M_Right_index_finger.BMP,1
2920,65__M_Left_little_finger.BMP,65__M_Right_little_finger.BMP,1
2921,65__M_Left_little_finger.BMP,65__M_Left_index_finger.BMP,1
2922,65__M_Left_little_finger.BMP,65__M_Right_index_finger.BMP,1
2923,65__M_Right_little_finger.BMP,65__M_Left_index_finger.BMP,1
2924,65__M_Right_little_finger.BMP,65__M_Right_index_finger.BMP,1
2925,65__M_Left_index_finger.BMP,65__M_Right_index_finger.BMP,1
2926,66__M_Left_ring_finger.BMP,66__M_Right_ring_finger.BMP,1
2927,66__M_Left_ring_finger.BMP,66__M_Left_thumb_finger.BMP,1
2928,66__M_Left_ring_finger.BMP,66__M_Right_thumb_finger.BMP,1
2929,66__M_Left_ring_finger.BMP,66__M_Left_middle_finger.BMP,1
2930,66__M_Left_ring_finger.BMP,66__M_Right_middle_finger.BMP,1
2931,66__M_Left_ring_finger.BMP,66__M_Left_little_finger.BMP,1
2932,66__M_Left_ring_finger.BMP,66__M_Right_little_finger.BMP,1
2933,66__M_Left_ring_finger.BMP,66__M_Left_index_finger.BMP,1
2934,66__M_Left_ring_finger.BMP,66__M_Right_index_finger.BMP,1
2935,66__M_Right_ring_finger.BMP,66__M_Left_thumb_finger.BMP,1
2936,66__M_Right_ring_finger.BMP,66__M_Right_thumb_finger.BMP,1
2937,66__M_Right_ring_finger.BMP,66__M_Left_middle_finger.BMP,1
2938,66__M_Right_ring_finger.BMP,66__M_Right_middle_finger.BMP,1
2939,66__M_Right_ring_finger.BMP,66__M_Left_little_finger.BMP,1
2940,66__M_Right_ring_finger.BMP,66__M_Right_little_finger.BMP,1
2941,66__M_Right_ring_finger.BMP,66__M_Left_index_finger.BMP,1
2942,66__M_Right_ring_finger.BMP,66__M_Right_index_finger.BMP,1
2943,66__M_Left_thumb_finger.BMP,66__M_Right_thumb_finger.BMP,1
2944,66__M_Left_thumb_finger.BMP,66__M_Left_middle_finger.BMP,1
2945,66__M_Left_thumb_finger.BMP,66__M_Right_middle_finger.BMP,1
2946,66__M_Left_thumb_finger.BMP,66__M_Left_little_finger.BMP,1
2947,66__M_Left_thumb_finger.BMP,66__M_Right_little_finger.BMP,1
2948,66__M_Left_thumb_finger.BMP,66__M_Left_index_finger.BMP,1
2949,66__M_Left_thumb_finger.BMP,66__M_Right_index_finger.BMP,1
2950,66__M_Right_thumb_finger.BMP,66__M_Left_middle_finger.BMP,1
2951,66__M_Right_thumb_finger.BMP,66__M_Right_middle_finger.BMP,1
2952,66__M_Right_thumb_finger.BMP,66__M_Left_little_finger.BMP,1
2953,66__M_Right_thumb_finger.BMP,66__M_Right_little_finger.BMP,1
2954,66__M_Right_thumb_finger.BMP,66__M_Left_index_finger.BMP,1
2955,66__M_Right_thumb_finger.BMP,66__M_Right_index_finger.BMP,1
2956,66__M_Left_middle_finger.BMP,66__M_Right_middle_finger.BMP,1
2957,66__M_Left_middle_finger.BMP,66__M_Left_little_finger.BMP,1
2958,66__M_Left_middle_finger.BMP,66__M_Right_little_finger.BMP,1
2959,66__M_Left_middle_finger.BMP,66__M_Left_index_finger.BMP,1
2960,66__M_Left_middle_finger.BMP,66__M_Right_index_finger.BMP,1
2961,66__M_Right_middle_finger.BMP,66__M_Left_little_finger.BMP,1
2962,66__M_Right_middle_finger.BMP,66__M_Right_little_finger.BMP,1
2963,66__M_Right_middle_finger.BMP,66__M_Left_index_finger.BMP,1
2964,66__M_Right_middle_finger.BMP,66__M_Right_index_finger.BMP,1
2965,66__M_Left_little_finger.BMP,66__M_Right_little_finger.BMP,1
2966,66__M_Left_little_finger.BMP,66__M_Left_index_finger.BMP,1
2967,66__M_Left_little_finger.BMP,66__M_Right_index_finger.BMP,1
2968,66__M_Right_little_finger.BMP,66__M_Left_index_finger.BMP,1
2969,66__M_Right_little_finger.BMP,66__M_Right_index_finger.BMP,1
2970,66__M_Left_index_finger.BMP,66__M_Right_index_finger.BMP,1
2971,67__M_Left_ring_finger.BMP,67__M_Right_ring_finger.BMP,1
2972,67__M_Left_ring_finger.BMP,67__M_Left_thumb_finger.BMP,1
2973,67__M_Left_ring_finger.BMP,67__M_Right_thumb_finger.BMP,1
2974,67__M_Left_ring_finger.BMP,67__M_Left_middle_finger.BMP,1
2975,67__M_Left_ring_finger.BMP,67__M_Right_middle_finger.BMP,1
2976,67__M_Left_ring_finger.BMP,67__M_Left_little_finger.BMP,1
2977,67__M_Left_ring_finger.BMP,67__M_Right_little_finger.BMP,1
2978,67__M_Left_ring_finger.BMP,67__M_Left_index_finger.BMP,1
2979,67__M_Left_ring_finger.BMP,67__M_Right_index_finger.BMP,1
2980,67__M_Right_ring_finger.BMP,67__M_Left_thumb_finger.BMP,1
2981,67__M_Right_ring_finger.BMP,67__M_Right_thumb_finger.BMP,1
2982,67__M_Right_ring_finger.BMP,67__M_Left_middle_finger.BMP,1
2983,67__M_Right_ring_finger.BMP,67__M_Right_middle_finger.BMP,1
2984,67__M_Right_ring_finger.BMP,67__M_Left_little_finger.BMP,1
2985,67__M_Right_ring_finger.BMP,67__M_Right_little_finger.BMP,1
2986,67__M_Right_ring_finger.BMP,67__M_Left_index_finger.BMP,1
2987,67__M_Right_ring_finger.BMP,67__M_Right_index_finger.BMP,1
2988,67__M_Left_thumb_finger.BMP,67__M_Right_thumb_finger.BMP,1
2989,67__M_Left_thumb_finger.BMP,67__M_Left_middle_finger.BMP,1
2990,67__M_Left_thumb_finger.BMP,67__M_Right_middle_finger.BMP,1
2991,67__M_Left_thumb_finger.BMP,67__M_Left_little_finger.BMP,1
2992,67__M_Left_thumb_finger.BMP,67__M_Right_little_finger.BMP,1
2993,67__M_Left_thumb_finger.BMP,67__M_Left_index_finger.BMP,1
2994,67__M_Left_thumb_finger.BMP,67__M_Right_index_finger.BMP,1
2995,67__M_Right_thumb_finger.BMP,67__M_Left_middle_finger.BMP,1
2996,67__M_Right_thumb_finger.BMP,67__M_Right_middle_finger.BMP,1
2997,67__M_Right_thumb_finger.BMP,67__M_Left_little_finger.BMP,1
2998,67__M_Right_thumb_finger.BMP,67__M_Right_little_finger.BMP,1
2999,67__M_Right_thumb_finger.BMP,67__M_Left_index_finger.BMP,1
3000,67__M_Right_thumb_finger.BMP,67__M_Right_index_finger.BMP,1
3001,67__M_Left_middle_finger.BMP,67__M_Right_middle_finger.BMP,1
3002,67__M_Left_middle_finger.BMP,67__M_Left_little_finger.BMP,1
3003,67__M_Left_middle_finger.BMP,67__M_Right_little_finger.BMP,1
3004,67__M_Left_middle_finger.BMP,67__M_Left_index_finger.BMP,1
3005,67__M_Left_middle_finger.BMP,67__M_Right_index_finger.BMP,1
3006,67__M_Right_middle_finger.BMP,67__M_Left_little_finger.BMP,1
3007,67__M_Right_middle_finger.BMP,67__M_Right_little_finger.BMP,1
3008,67__M_Right_middle_finger.BMP,67__M_Left_index_finger.BMP,1
3009,67__M_Right_middle_finger.BMP,67__M_Right_index_finger.BMP,1
3010,67__M_Left_little_finger.BMP,67__M_Right_little_finger.BMP,1
3011,67__M_Left_little_finger.BMP,67__M_Left_index_finger.BMP,1
3012,67__M_Left_little_finger.BMP,67__M_Right_index_finger.BMP,1
3013,67__M_Right_little_finger.BMP,67__M_Left_index_finger.BMP,1
3014,67__M_Right_little_finger.BMP,67__M_Right_index_finger.BMP,1
3015,67__M_Left_index_finger.BMP,67__M_Right_index_finger.BMP,1
3016,68__M_Left_ring_finger.BMP,68__M_Right_ring_finger.BMP,1
3017,68__M_Left_ring_finger.BMP,68__M_Left_thumb_finger.BMP,1
3018,68__M_Left_ring_finger.BMP,68__M_Right_thumb_finger.BMP,1
3019,68__M_Left_ring_finger.BMP,68__M_Left_middle_finger.BMP,1
3020,68__M_Left_ring_finger.BMP,68__M_Right_middle_finger.BMP,1
3021,68__M_Left_ring_finger.BMP,68__M_Left_little_finger.BMP,1
3022,68__M_Left_ring_finger.BMP,68__M_Right_little_finger.BMP,1
3023,68__M_Left_ring_finger.BMP,68__M_Left_index_finger.BMP,1
3024,68__M_Left_ring_finger.BMP,68__M_Right_index_finger.BMP,1
3025,68__M_Right_ring_finger.BMP,68__M_Left_thumb_finger.BMP,1
3026,68__M_Right_ring_finger.BMP,68__M_Right_thumb_finger.BMP,1
3027,68__M_Right_ring_finger.BMP,68__M_Left_middle_finger.BMP,1
3028,68__M_Right_ring_finger.BMP,68__M_Right_middle_finger.BMP,1
3029,68__M_Right_ring_finger.BMP,68__M_Left_little_finger.BMP,1
3030,68__M_Right_ring_finger.BMP,68__M_Right_little_finger.BMP,1
3031,68__M_Right_ring_finger.BMP,68__M_Left_index_finger.BMP,1
3032,68__M_Right_ring_finger.BMP,68__M_Right_index_finger.BMP,1
3033,68__M_Left_thumb_finger.BMP,68__M_Right_thumb_finger.BMP,1
3034,68__M_Left_thumb_finger.BMP,68__M_Left_middle_finger.BMP,1
3035,68__M_Left_thumb_finger.BMP,68__M_Right_middle_finger.BMP,1
3036,68__M_Left_thumb_finger.BMP,68__M_Left_little_finger.BMP,1
3037,68__M_Left_thumb_finger.BMP,68__M_Right_little_finger.BMP,1
3038,68__M_Left_thumb_finger.BMP,68__M_Left_index_finger.BMP,1
3039,68__M_Left_thumb_finger.BMP,68__M_Right_index_finger.BMP,1
3040,68__M_Right_thumb_finger.BMP,68__M_Left_middle_finger.BMP,1
3041,68__M_Right_thumb_finger.BMP,68__M_Right_middle_finger.BMP,1
3042,68__M_Right_thumb_finger.BMP,68__M_Left_little_finger.BMP,1
3043,68__M_Right_thumb_finger.BMP,68__M_Right_little_finger.BMP,1
3044,68__M_Right_thumb_finger.BMP,68__M_Left_index_finger.BMP,1
3045,68__M_Right_thumb_finger.BMP,68__M_Right_index_finger.BMP,1
3046,68__M_Left_middle_finger.BMP,68__M_Right_middle_finger.BMP,1
3047,68__M_Left_middle_finger.BMP,68__M_Left_little_finger.BMP,1
3048,68__M_Left_middle_finger.BMP,68__M_Right_little_finger.BMP,1
3049,68__M_Left_middle_finger.BMP,68__M_Left_index_finger.BMP,1
3050,68__M_Left_middle_finger.BMP,68__M_Right_index_finger.BMP,1
3051,68__M_Right_middle_finger.BMP,68__M_Left_little_finger.BMP,1
3052,68__M_Right_middle_finger.BMP,68__M_Right_little_finger.BMP,1
3053,68__M_Right_middle_finger.BMP,68__M_Left_index_finger.BMP,1
3054,68__M_Right_middle_finger.BMP,68__M_Right_index_finger.BMP,1
3055,68__M_Left_little_finger.BMP,68__M_Right_little_finger.BMP,1
3056,68__M_Left_little_finger.BMP,68__M_Left_index_finger.BMP,1
3057,68__M_Left_little_finger.BMP,68__M_Right_index_finger.BMP,1
3058,68__M_Right_little_finger.BMP,68__M_Left_index_finger.BMP,1
3059,68__M_Right_little_finger.BMP,68__M_Right_index_finger.BMP,1
3060,68__M_Left_index_finger.BMP,68__M_Right_index_finger.BMP,1
3061,69__M_Left_ring_finger.BMP,69__M_Right_ring_finger.BMP,1
3062,69__M_Left_ring_finger.BMP,69__M_Left_thumb_finger.BMP,1
3063,69__M_Left_ring_finger.BMP,69__M_Right_thumb_finger.BMP,1
3064,69__M_Left_ring_finger.BMP,69__M_Left_middle_finger.BMP,1
3065,69__M_Left_ring_finger.BMP,69__M_Right_middle_finger.BMP,1
3066,69__M_Left_ring_finger.BMP,69__M_Left_little_finger.BMP,1
3067,69__M_Left_ring_finger.BMP,69__M_Right_little_finger.BMP,1
3068,69__M_Left_ring_finger.BMP,69__M_Left_index_finger.BMP,1
3069,69__M_Left_ring_finger.BMP,69__M_Right_index_finger.BMP,1
3070,69__M_Right_ring_finger.BMP,69__M_Left_thumb_finger.BMP,1
3071,69__M_Right_ring_finger.BMP,69__M_Right_thumb_finger.BMP,1
3072,69__M_Right_ring_finger.BMP,69__M_Left_middle_finger.BMP,1
3073,69__M_Right_ring_finger.BMP,69__M_Right_middle_finger.BMP,1
3074,69__M_Right_ring_finger.BMP,69__M_Left_little_finger.BMP,1
3075,69__M_Right_ring_finger.BMP,69__M_Right_little_finger.BMP,1
3076,69__M_Right_ring_finger.BMP,69__M_Left_index_finger.BMP,1
3077,69__M_Right_ring_finger.BMP,69__M_Right_index_finger.BMP,1
3078,69__M_Left_thumb_finger.BMP,69__M_Right_thumb_finger.BMP,1
3079,69__M_Left_thumb_finger.BMP,69__M_Left_middle_finger.BMP,1
3080,69__M_Left_thumb_finger.BMP,69__M_Right_middle_finger.BMP,1
3081,69__M_Left_thumb_finger.BMP,69__M_Left_little_finger.BMP,1
3082,69__M_Left_thumb_finger.BMP,69__M_Right_little_finger.BMP,1
3083,69__M_Left_thumb_finger.BMP,69__M_Left_index_finger.BMP,1
